trip_id,start_time,end_time,headway_secs,exact_times
28214531,20:00:00,20:27:00,1620,1
28214538,05:50:00,07:08:00,1560,1
28214543,07:26:00,09:32:00,1080,1
28214548,09:49:00,10:07:00,1080,1
28214553,10:28:00,15:58:00,1320,1
28214558,16:13:00,18:45:00,1140,1
28214563,19:06:00,19:48:00,1260,1
28214568,20:18:00,20:48:00,1800,1
28214507,20:18:00,20:48:00,1800,1
28214489,05:50:00,07:08:00,1560,1
28214492,07:26:00,09:32:00,1080,1
28214495,09:49:00,10:07:00,1080,1
28214498,10:28:00,15:58:00,1320,1
28214501,16:13:00,18:45:00,1140,1
28214504,19:06:00,19:48:00,1260,1
28219564,06:35:00,07:00:00,1500,1
28219569,07:24:00,07:45:00,1260,1
28219574,08:05:00,09:45:00,1200,1
28219579,10:15:00,15:45:00,1800,1
28219584,16:12:00,16:38:00,1560,1
28219589,17:06:00,19:54:00,1680,1
28219594,20:20:00,20:46:00,1560,1
28219599,21:16:00,21:52:00,1080,1
28219604,22:15:00,23:15:00,1800,1
28219628,08:05:00,08:25:00,1200,1
28219634,09:05:00,09:25:00,1200,1
28219640,10:15:00,10:45:00,1800,1
28219652,12:45:00,13:45:00,1800,1
28219655,14:15:00,14:45:00,1800,1
28219676,18:02:00,18:30:00,1680,1
28219697,21:34:00,21:52:00,1080,1
28257159,06:48:00,06:50:00,120,1
28257164,07:12:00,07:35:00,1380,1
28257169,07:55:00,09:35:00,1200,1
28257174,10:00:00,16:00:00,1800,1
28257179,16:24:00,19:40:00,1680,1
28257184,20:07:00,20:33:00,1560,1
28257074,06:48:00,06:50:00,120,1
28257080,07:35:00,07:55:00,1200,1
28257083,08:15:00,09:15:00,1200,1
28257137,17:48:00,18:16:00,1680,1
28211721,05:35:00,05:45:00,600,1
28211863,05:35:00,05:45:00,600,1
28211731,06:11:00,06:37:00,780,1
28211869,06:11:00,06:24:00,780,1
28211872,06:37:00,06:47:00,600,1
28211741,07:04:00,07:22:00,1080,1
28211746,07:39:00,08:17:00,1140,1
28211756,09:37:00,10:07:00,1800,1
28211771,12:07:00,12:37:00,1800,1
28211875,07:04:00,07:22:00,1080,1
28211878,07:39:00,07:58:00,1140,1
28211806,17:05:00,18:01:00,1680,1
28211751,08:37:00,09:17:00,1200,1
